"State"	"Freq"	"prop"
"Alabama"	11376	0.0178180417069985
"Alaska"	1617	0.00253268050634815
"Arizona"	12871	0.0201596356197941
"Arkansas"	6947	0.0108809718476194
"California"	99783	0.156288471839788
"Colorado"	6593	0.0103265074696063
"Connecticut"	4896	0.00766852427896137
"Delaware"	1179	0.00184664830982342
"District of Columbia"	7115	0.0111441074846426
"Florida"	37164	0.0582093619900572
"Georgia"	21088	0.0330297875806244
"Hawaii"	1338	0.00209568739486322
"Idaho"	1150	0.00180122608676584
"Illinois"	25871	0.0405213218180166
"Indiana"	11463	0.0179543083761712
"Iowa"	1749	0.00273942993543779
"Kansas"	3085	0.00483198476319359
"Kentucky"	6554	0.0102654224110116
"Louisiana"	19629	0.0307445798757624
"Maine"	869	0.00136110040817349
"Maryland"	17312	0.0271155008818176
"Massachusetts"	6036	0.00945408753019012
"Michigan"	28448	0.0445576345359258
"Minnesota"	3975	0.00622597712599498
"Mississippi"	6546	0.0102528921425819
"Missouri"	14832	0.0232311176686183
"Montana"	601	0.000941336415779367
"Nebraska"	1331	0.00208472340998725
"Nevada"	5553	0.00869757257374846
"New Hampshire"	655	0.00102591572767968
"New Jersey"	14132	0.0221347191810217
"New Mexico"	4272	0.00669116334144668
"New York"	49268	0.0771676581241562
"North Carolina"	20390	0.0319365216601353
"North Dakota"	308	0.000482415334542504
"Ohio"	19158	0.0300068603219652
"Oklahoma"	8809	0.0137973918246264
"Oregon"	4217	0.00660501774599266
"Pennsylvania"	24236	0.0379604482077017
"Rhodes Island"	1211	0.00189676938354212
"South Carolina"	11698	0.0183223850112929
"South Dakota"	442	0.000692297330739568
"Tennessee"	14930	0.0233846134568818
"Texas"	62095	0.097258377267587
"Utah"	2033	0.00318425446469127
"Vermont"	412	0.000645308824128285
"Virginia"	15520	0.0243087207535703
"Washington"	7815	0.0122405059722392
"West Virginia"	3061	0.00479439395790456
"Wisconsin"	6191	0.00969686148101508
"Wyoming"	630	0.000986758638836941
